serial,name,inci,typeo,hlb

2001001,AHA FRUIT ACIDS/MULTIFRUT ACID,,active,,,,,,,,,-0.1
2001002,ALCOHOL CLEAN,,,,,,,,,,,
2001003,ALCOHOL ETHYL  S.D.A.40 -,,,,,,,,,,,256.46
2001004,ALMOND OIL,,,,,,,,,,,385.01
2001005,ALOE AO001 OIL SOLUBLE,,,,,,,,,,,
2001006,ALOE VERA POWDER-TD 012,,,,,,,,,,,
2001007,ALUMINIUM CHLORHYDRATE-ACH-303,,,,,,,,,,,80.4
2001008,RED NO 33-307002,,,,,,,,,,,
2001009,APG-ALKY POLY GLUCOSIDE 0810,,,,,,,,,,,41.5
2001010,ANISE OIL,,,,,,,,,,,2.36
2001011,AO WAX,,structuring agent,,,,,,,,,26.3
2001012,APRICOT KERNAL PDR.400/500,,,,,,,,,,,
2001013,ETHANOL 96% D BTX - IBC,,,,,,,,,,,0.5
2001014,AVOCADO OIL,,,,,,,,,,,73.77
2001015,AMARYLIS PERFUME ARGEVILLE,,,,,,,,,,,0.62
2001016,ALDO MSA,,,,,,,,,,,
2001017,ACID UNDECILENIC,,,,,,,,,,,
2001018,??????? ????? ??????,,,,,,,,,,,
2001021,ADOR PERFUME,,,,,,,,,,,2.38
2001022,ALLANTOIN,,,,,,,,,,,7.83
2001024,ANGEL PERFUME,,,,,,,,,,,
2001025,ACNIBIO CT,,,,,,,,,,,
2001026,ALLIANCE CR 17055,,,,,,,,,,,
2001027,ALMOND PHYTOLAIT,,,,,,,,,,,
2001028,ACIFRUCTOL TOMATE P62,,,,,,,,,,,
2001029,AMBREY ORIENTAL FOR PERFUME,,,,,,,,,,,
2001030,AMBREY ORIENTAL FOR DEODORANT,,,,,,,,,,,
2001031,APPLE PERFUME(LIPSTIK),,,,,,,,,,,
2001032,AQUAXYL,,,,,,,,,,,
2001033,ANTI STRESS PHITOAMINE-PABC,,,,,,,,,,,0.89
2001034,ARBUTIN,,,,,,,,,,,1
2001035,ARISTOFLEX AVC,,,,,,,,,,,
2001036,AQUADERM SP NA21495,Aqua (and) Sodium PCA (and) Sodium Lactate (and) Fructose (and) Glycine (and) Niacinamide (and) Urea (and) Inositol,,,,,,,,,,15
2001037,ARGAN OIL,,,,,,,,,,,5.29
2001038,ALOE CON UP 100X -  powder,,,,,,,,,,,
2001039,Arnica Extract,,,,,,,,,,,9.3
2001040,Arnica Oil,,,,,,,,,,,0.5
2001041,Alfalfa )Lucern( Extract,,,,,,,,,,,3.89
2001042,Azelaic Acid,,,,,,,,,,,
2001043,AMONIA,,,,,,,,,,,0.14
2001044,ALOE VERA 200X -  powder ZIV,,,,,,,,,,,
2001045,ALOE VERA 200X-powder-HELION,,,,,,,,,,,2.36
2001046,Aloe Vera Gel FG 10X - ?????,,,,,,,,,,,14
2001047,Acetone,,,,,,,,,,,
2001048,AMP ULTRA PC 2000,,,,,,,,,,,
2001049,Arabica Gum,,,,,,,,,,,20.82
2001050,(Abil quat 3272 )quaternium 80,,,,,,,,,,,15.25
2001051,Abyssinian Oil-Clarinet,,,,,,,,,,,20.78
2001052,ACB Fruit Mix-Helion,,,,,,,,,,,16.05
2001053,Acticire-BSC,,,,,,,,,,,3.5
2001054,Alcohol-Shizar,,,,,,,,,,,
2001055,Amisoft CS -22-Tagra,Sodium Cocoyl Glutamate (and) Disodium Cocoyl Glutamate (and) Water,,,,,,,,,,4
2001056,Amisoft CS -22-Tagra,,,,,,,,,,,
2001057,Argan Oil-Shifon,,,,,,,,,,,
2001058,Arlacel LC-Hershberg,Sorbitan Stearate (and) Sorbityl Laurate,,,,,,,,,,18.5
2001059,Arlamol PS15E,PPG-15 Stearyl Ether,,,,,,,,,,16
2001060,Avocado Oil-Statfold/ surajbal,,,,,,,,,,,
2001061,Age Defense- Bsc. Distributors,,,,,,,,,,,
2001062,Anissed Oil _ NONA,,,,,,,,,,,
2001063,Apricot Scrubami 300/400,,,,,,,,,,,
2001064,AquaJuva CT,,,,,,,,,,,
2001065,Actigum,Sclerotium Gum (and) Xanthan Gum,,,,,,,,,,25
2001066,Aluminum Sulfate 25% - ?????,,,,,,,,,,,1325
2001067,Aculyn 88,,,,,,,,,,,
2001068,AquaCacteen,,,,,,,,,,,
2001069,ASCORBIC ACID- VITAMIN C,,,,,,,,,,,
2001070,AQUAJUV FD - Sudium Hylronate,,,,,,,,,,,4.12
2001071,Alfodet XL -46,,,,,,,,,,,
2001072,ADIOLSIM - SEPPIC,,,,,,,,,,,
2001073,ADIPOLESS - -SEPPIC,,,,,,,,,,,
2001074,AJIDEW NL 50,,,,,,,,,,,
2001075,Akoactive Queen,,,,,,,,,,,
2001076,Ascorbyl Palmitate,,,,,,,,,,,
2002001,BEESWAX - CERA ALBA,,,,,,,,,,,34.91
2002002,BENZOPHENONE - 3,,,,,,,,,,,0.9
2002003,BERGAMOT OIL,,,,,,,,,,,1.26
2002004,BEVERLEY PERFUME,,,,,,,,,,,2.69
2002005,BHT,,,,,,,,,,,4.15
2002006,BIRCH EXTRACT,,,,,,,,,,,
2002007,BLUE COLOUR 1,,,,,,,,,,,2.26
2002008,BLUE COLOR OIL SOLUBLE,,,,,,,,,,,
2002009,BROWN COLOR,,,,,,,,,,,0.25
2002010,BLUE COLOR,,,,,,,,,,,
2002011,BECK AM 11752B,,,,,,,,,,,
2002012,BORAX,,,,,,,,,,,2
2002013,BENZYL ALCOHOL,,,,,,,,,,,-0.56
2002016,BLADDER WRACK HS,,,,,,,,,,,0.35
2002017,BILBERRY LEAF HS,,,,,,,,,,,3.25
2002018,BLACK DRAGON PERFUME,,,,,,,,,,,
2002019,BLACK CHERRY CPC 9621,,,,,,,,,,,
2002020,BC 5 SILICONE /CYCLOMETHICONE,,,,,,,,,,,
2002021,BODYFIT,,,,,,,,,,,
2002023,BMC,,,,,,,,,,,
2002024,BUTYLENE GLYCOL,,,,,,,,,,,117.75
2002025,BROOKOSOME ACE,,,,,,,,,,,
2002026,BENZALKONIUM CHLORIDE,,,,,,,,,,,22.07
2002027,borage oil ?????,,,,,,,,,,,1
2002028,Benzion oil,,,,,,,,,,,
2002029,BELSIL 1000,,,,,,,,,,,
2002030,BELSIL 040,,,,,,,,,,,
2002031,Benzoic Acid,,,,,,,,,,,
2002032,Black Unipure LC989 1kg,,,,,,,,,,,0.62
2002033,??? ??? ???? ???? ????,,,,,,,,,,,0.62
2002034,Black Peper Oil  ??? ???? ????,,,,,,,,,,,0.92
2002035,BIOLIN/P,,,,,,,,,,,
2002036,BIODINE V,,,,,,,,,,,
2002037,BC 2366,,,,,,,,,,,
2002038,Benzophenone 3-Helion,,,,,,,,,,,
2002039,Bladderwrack-Tagra,,,,,,,,,,,
2002040,C.A.B- Amphotensid B4-Maychem,,,,,,,,,,,
2002041,BlackCap1,,,,,,,,,,,
2002042,Bioecolia,:�?-glucan oligosaccharide,,,,,,,,,,4.93
2002043,BeesWax Synthetic,,,,,,,,,,,12.4
2002044,Beta Caroten,,,,,,,,,,,
2002045,Beta vulgaris )beet( root extr,,,,,,,,,,,
2002046,Braziliian Murumuru Extract,,,,,,,,,,,
2002047,Biotin,,,,,,,,,,,
2002048,Behentrimonium Chloride - ZIV,,,,,,,,,,,25
2002049,Betafin BP20,,,,,,,,,,,
2002050,BTC 1010-E,,,,,,,,,,,173.52
2002051,Biotin PLUS,,,,,,,,,,,
2002052,Betaine Coco,,,,,,,,,,,
2002053,BASIL OIL,,,,,,,,,,,
2002054,BLACK CUMIN OIL,,,,,,,,,,,1
2003001,CAB- COCAMIDOPROPYL BETAIN,,,,,,,,,,,448.8
2003002,CAJEPUT OIL,,,,,,,,,,,-0.07
2003003,CALENDULA OIL,,,,,,,,,,,2.88
2003004,CITRONELA OIL,,,,,,,,,,,2.5
2003005,CAMOMILE EXTRACT BROWN,,,,,,,,,,,13.56
2003006,CAMOMILE PERFUME,,,,,,,,,,,0.8
2003007,CAMPHOR OIL,,,,,,,,,,,0.22
2003008,CARROT OIL,,,,,,,,,,,2.75
2003009,CASTOR OIL,,,,,,,,,,,346.71
2003010,CHERRY PERFUME(OIL SOLUBLE),,,,,,,,,,,
2003011,CITRIC ACID,,,,,,,,,,,15.6
2003012,CLARY SAGE OIL,,,,,,,,,,,2.68
2003013,CLOVE OIL,,,,,,,,,,,3.58
2003014,COCONUT PERF. OIL SOLUB4431840,,,,,,,,,,,1
2003016,COCONUT 2201920051 FRUTAROM,,,,,,,,,,,
2003017,COD/LOURAMID 11,,,,,,,,,,,134.88
2003018,CRODASINIC LS 30,,,,,,,,,,,
2003019,COCONUT BOUQUET 4432620,,,,,,,,,,,
2003020,CARBOPOL 2020,,,,,,,,,,,
2003021,CARBOPOL ULTREZ-10 (BLUE),,,,,,,,,,,
2003022,CINAMON OIL,,,,,,,,,,,-0.01
2003023,CETACEUM,,,,,,,,,,,
2003024,CIRE DE LANOL,,,,,,,,,,,2
2003025,COCONUT PERUME JO397 shifon,,,,,,,,,,,
2003026,CETYL ALCOHOL,,condition,,,,,,,,,108.21
2003027,CUTINA CP,,,,,,,,,,,
2003028,CARROT OIL EXTRACT,,,,,,,,,,,
2003029,CRODAMOL CAP,Cetearyl Ethylhexanoate (and) Isopropyl Myristate,,,,,,,,,,89.3
2003030,CUTINA EGMS,,,,,,,,,,,
2003032,COCOA BUTTER NATURAL-brwon,,,,,,,,,,,
2003033,CRISTO PERFUME,,,,,,,,,,,
2003034,COCONUT OIL- BUTTER- GUSTAV,,,,,,,,,,,25.23
2003035,CANOLA OIL,,,,,,,,,,,
2003036,CALCIUM THIOGLYCOLLATE 102125,,,,,,,,,,,
2003037,CALCIUM HYDROXIDE 102047.1000,,,,,,,,,,,
2003038,CAPIGEL 98,,structuring agent,,,,,,,,,151.5
2003039,COLOR RED FROOTS STRAW- RED 40,,,,,,,,,,,
2003040,COLOR FD&C NO 4 RED,,,,,,,,,,,
2003041,COLOR FD&C NO 1 BLUE,,,,,,,,,,,
2003042,CROTHIX LIQUID,,,,,,,,,,,
2003043,CARBOPOL 1342,,,,,,,,,,,
2003044,CRODAMOL OP,,,,,,,,,,,21
2003045,???? ???? ??? ??? Cl12700,,,,,,,,,,,1
2003046,CRINUPAN AD,,,,,,,,,,,
2003047,CROMOLLIENT SCE,,,,,,,,,,,
2003049,PEG40 HYDROG./SABOWAX ELH40,,,,,,,,,,,
2003050,CUTINA EGMS/GLYCOL STEARATE,,,,,,,,,,,
2003051,COVAZOR ZO3,,,,,,,,,,,
2003052,CETIOL CC,,,,,,,,,,,
2003053,COCOA BUTTER ORGANIC,,,,,,,,,,,
2003054,Ceder Oil  ???,,,,,,,,,,,
2003055,Clary Sage Extract )?????),,,,,,,,,,,3.72
2003056,Calendula Extract =  1:4,,,,,,,,,,,5.26
2003057,Coal Tar,,,,,,,,,,,
2003058,cucumber Extract,,,,,,,,,,,0.16
2003059,COCOA BUTTER NATURAL-White,,,,,,,,,,,6.95
2003060,COSMOVAX D,Cetearyl Alcohol (and) Ceteareth-20,,,,,,,,,,12
